,year,회사명,거래소코드,회계년도,시가총액(백만원),유동자산(백만원),부채(백만원),당기순이익(백만원)
5579,2008,진흥기업(주),002780,2007/12,206102.89672,614088.0,496297.0,6195.0
5580,2008,(주)삼양제넥스,003940,2007/12,203042.356,296621.0,99082.0,19431.0
5581,2008,KG스틸(주),016380,2007/12,202229.5447,753484.0,1827794.0,33819.0
5582,2008,한국유리공업(주),002000,2007/12,202097.183,292740.0,167930.0,-16700.0
5584,2008,대우자동차판매(주),004550,2007/12,199960.8,943608.0,3046881.0,57831.0
5585,2008,(주)모토닉,009680,2007/12,197010.0,233167.0,77748.0,25515.0
5588,2008,하이트진로홀딩스(주),000140,2007/12,193979.8888,959954.0,2605157.0,211063.0
5589,2008,(주)한섬,020000,2007/12,193345.5,190824.0,57815.0,46565.0
5590,2008,대상(주),001680,2007/12,193151.97088,225506.0,630417.0,6925.0
5592,2008,넥센타이어(주),002350,2007/12,192688.1278,179012.0,433758.0,28227.0
5593,2008,(주)유니드,014830,2007/12,192284.0148,131663.0,114475.0,27126.0
5594,2008,대한제분(주),001130,2007/12,191815.0,315550.0,243919.0,29990.0
5595,2008,(주)다우기술,023590,2007/12,191580.45459,1448456.0,1157975.0,81677.0
5598,2008,무림페이퍼(주),009200,2007/12,190154.5467,229505.0,320066.0,8958.0
5600,2008,롯데푸드(주),002270,2007/12,187627.207,130742.0,235643.0,21865.0
5601,2008,아세아(주),002030,2007/12,186950.74905,363682.0,349034.0,48336.0
5602,2008,한국전기초자(주),009720,2007/12,184072.95,339912.0,142814.0,-79711.0
5604,2008,신라교역(주),004970,2007/12,178909.08,134765.0,157997.0,17361.0
5605,2008,(주)디엔오토모티브,007340,2007/12,177952.65,183866.0,46877.0,24326.0
5606,2008,(주)에이치에스애드,035000,2007/12,175714.93,285583.0,222404.0,8249.0
5607,2008,세방(주),004360,2007/12,174720.0,435283.0,380979.0,33268.0
5612,2008,삼영전자공업(주),005680,2007/12,168000.0,230289.0,47122.0,1423.0
5613,2008,(주)대덕,008060,2007/12,166883.346,299523.0,86130.0,10444.0
5615,2008,대한유화(주),006650,2007/12,166050.0,340275.0,285254.0,61197.0
5617,2008,대한제당(주),001790,2007/12,163249.0775,707780.0,852453.0,11678.0
5618,2008,(주)나이스홀딩스,034310,2007/12,161470.0,96086.0,48444.0,23274.0
5620,2008,(주)경동인베스트,012320,2007/12,160617.6,220499.0,208702.0,21572.0
5621,2008,금호전기(주),001210,2007/12,157685.9628,103049.0,101886.0,22105.0
5622,2008,(주)한샘,009240,2007/12,157677.3176,184614.0,149745.0,14750.0
5625,2008,케이피엑스케미칼(주),025000,2007/12,154100.0,143676.0,62805.0,30725.0
5626,2008,한국제지(주),002300,2007/12,152150.4496,215121.0,171509.0,-7157.0
5627,2008,케이피엑스홀딩스(주),092230,2007/12,151664.7914,371842.0,166161.0,88112.0
5628,2008,일신방직(주),003200,2007/12,149760.0,132989.0,87232.0,7396.0
5629,2008,유니온스틸(주),003640,2007/12,147744.0,722013.0,1208859.0,2374.0
5631,2008,계룡건설산업(주),013580,2007/12,142894.512,560627.0,396768.0,54487.0
5632,2008,성원건설(주),012090,2007/12,142682.85315,476120.0,532935.0,-1922.0
5634,2008,(주)DB하이텍,000990,2007/12,140604.3009,657666.0,2668432.0,-53587.0
5636,2008,코오롱글로벌(주),003070,2007/12,138429.08172,834682.0,1062888.0,12895.0
5642,2008,일진홀딩스(주),015860,2007/12,131048.74728,232659.0,313663.0,24337.0
5643,2008,(주)엔케이,085310,2007/12,129718.2,93252.0,131941.0,13593.0
5644,2008,국도화학(주),007690,2007/12,127833.552,219855.0,128212.0,13550.0
5645,2008,(주)경방,000050,2007/12,126880.0,91591.0,185276.0,65609.0
5646,2008,FnC코오롱(주),001370,2007/12,126637.98,334013.0,417759.0,26400.0
5647,2008,일동홀딩스(주),000230,2007/03,126343.0476,177034.0,110782.0,27604.0
5648,2008,경남기업(주),000800,2007/12,125916.28457,1089347.0,952692.0,36342.0
5650,2008,동부건설(주),005960,2007/12,121372.22165,784767.0,1237275.0,-34296.0
5651,2008,삼부토건(주),001470,2007/12,119290.059,441952.0,607918.0,10497.0
5656,2008,한국단자공업(주),025540,2007/12,114044.25,161950.0,53178.0,27813.0
5658,2008,(주)다함이텍,009280,2007/12,112817.7519,88240.0,9872.0,16661.0
5660,2008,케이씨그린홀딩스(주),009440,2007/12,109140.0,86453.0,104889.0,13318.0
5662,2008,디아이동일(주),001530,2007/12,108213.1964,245048.0,224009.0,3563.0
5663,2008,사조산업(주),007160,2007/12,107500.0,218625.0,513238.0,2428.0
5665,2008,태경산업(주),015890,2007/12,105515.7875,92517.0,83780.0,15124.0
5666,2008,대원강업(주),000430,2007/12,105000.0,124773.0,224956.0,10985.0
5669,2008,(주)신성이엔지,011930,2007/12,103129.65,78888.0,100307.0,6731.0
5670,2008,(주)대웅,003090,2007/03,102971.0901,262901.0,158294.0,55033.0
5672,2008,SNT모티브(주),064960,2007/12,101839.3775,307680.0,311907.0,46482.0
5673,2008,(주)이수화학,005950,2007/12,101423.7362,272729.0,282082.0,-9508.0
5674,2008,(주)휴스틸,005010,2007/12,101011.8082,168464.0,175352.0,16572.0
5675,2008,(주)신흥,004080,2007/12,100000.0,52783.0,64427.0,4213.0
5676,2008,대덕GDS(주),004130,2007/12,99809.88435,205520.0,41352.0,15528.0
5678,2008,삼환기업(주),000360,2007/12,99450.73095,623137.0,813996.0,43448.0
5680,2008,KISCO홀딩스(주),001940,2007/12,98766.0,629813.0,333068.0,73488.0
5682,2008,송원산업(주),004430,2007/12,98400.0,122454.0,335374.0,-59525.0
5686,2008,한일현대시멘트(주),006390,2007/12,95472.0,262923.0,611953.0,-16180.0
5688,2008,에스지씨에너지(주),005090,2007/12,94661.151,291961.0,546582.0,19332.0
5689,2008,삼양식품(주),003230,2007/12,93614.707,83270.0,154170.0,4568.0
5694,2008,(주)크라운해태홀딩스,005740,2007/12,89193.9312,276370.0,835103.0,26154.0
5696,2008,에스엘(주),005850,2007/03,88049.234,416692.0,441613.0,29572.0
5697,2008,(주)SNT홀딩스,036530,2007/12,87649.97956,725442.0,635728.0,54043.0
5698,2008,(주)대구백화점,006370,2007/03,86897.53633,176915.0,235276.0,19996.0
5701,2008,(주)동원에프앤비,049770,2007/12,85562.3223,202321.0,212007.0,9773.0
5702,2008,에이케이홀딩스(주),006840,2007/12,84900.0,221546.0,241560.0,28362.0
5703,2008,한국공항(주),005430,2007/12,84699.99625,96466.0,136572.0,18533.0
5704,2008,(주)비와이씨,001460,2007/12,84635.3325,143330.0,104985.0,9235.0
5706,2008,에이치엘디앤아이한라(주),014790,2007/12,83360.5344,848340.0,824017.0,21840.0
5707,2008,미원상사(주),002840,2007/09,83000.0,70165.0,46459.0,13735.0
5708,2008,한세예스24홀딩스(주),016450,2007/12,82800.0,192495.0,160530.0,14211.0
5709,2008,한솔테크닉스(주),004710,2007/12,82267.432,83633.0,123222.0,9241.0
5711,2008,대상홀딩스(주),084690,2007/12,81764.2755,419734.0,749033.0,24896.0
5712,2008,케이아이비플러그에너지(주),015590,2007/12,81562.4361,107448.0,111311.0,15714.0
5713,2008,디와이(주),013570,2007/12,81313.84772,198307.0,117553.0,16989.0
5715,2008,대성홀딩스(주),016710,2007/12,81025.23,155833.0,364245.0,11482.0
5718,2008,(주)에이프로젠,007460,2007/12,79693.2045,88989.0,101309.0,6990.0
5725,2008,한미반도체(주),042700,2007/12,73558.9698,99977.0,44778.0,27341.0
5727,2008,신풍제약(주),019170,2007/12,71889.4953,142417.0,103355.0,8834.0
5730,2008,(주)풍산홀딩스,005810,2007/12,70908.26135,1135659.0,1180455.0,-12895.0
5731,2008,(주)대동,000490,2007/12,70472.7837,172641.0,196970.0,-4849.0
5734,2008,(주)신원,009270,2007/12,68684.15645,87299.0,62097.0,25468.0
5735,2008,(주)케이씨,029460,2007/12,68186.327155,118485.0,53457.0,20299.0
5737,2008,강남제비스코(주),000860,2007/12,66950.0,113226.0,84408.0,14543.0
5739,2008,(주)셀런,013240,2007/12,66330.33136,122012.0,168614.0,-16810.0
5740,2008,화성산업(주),002460,2007/12,65989.24,425731.0,511903.0,36194.0
5742,2008,삼화페인트공업(주),000390,2007/12,65408.0,161793.0,131250.0,4741.0
5744,2008,(주)노루홀딩스,000320,2007/12,64541.20779,179915.0,258643.0,11173.0
5745,2008,대림통상(주),006570,2007/12,64249.5,104241.0,60583.0,12525.0
5749,2008,자화전자(주),033240,2007/12,62191.8,107500.0,49821.0,10489.0
5750,2008,(주)아이에이치큐,003560,2007/12,62116.23572,44177.0,27583.0,-1757.0
5753,2008,(주)지에스글로벌,001250,2007/12,61300.45628,149913.0,151386.0,9515.0
5754,2008,세종공업(주),033530,2007/12,60564.3786,145956.0,98318.0,12458.0
5755,2008,(주)경인양행,012610,2007/12,59840.0,93318.0,74569.0,4365.0
5756,2008,(주)인디에프,014990,2007/12,59816.989925,185086.0,243746.0,-24522.0
5759,2008,새론오토모티브(주),075180,2007/12,59040.0,71476.0,23768.0,17679.0
5761,2008,(주)한솔케미칼,014680,2007/12,58735.014,39753.0,77504.0,5287.0
5763,2008,삼화콘덴서공업(주),001820,2007/12,58419.9,40048.0,44606.0,7191.0
5767,2008,(주)서흥,008490,2007/12,57147.948,86471.0,87248.0,11453.0
5768,2008,(주)에스제이엠홀딩스,025530,2007/12,57021.2512,87284.0,30295.0,10544.0
5770,2008,(주)선앤엘,002820,2007/09,56700.0,190322.0,199827.0,16857.0
5771,2008,삼양통상(주),002170,2007/12,56400.0,122732.0,29076.0,2585.0
5774,2008,한일건설(주),006440,2007/12,55870.04256,389731.0,390341.0,29442.0
5777,2008,(주)한국화장품제조,003350,2007/12,55002.0,75374.0,25952.0,-6725.0
5780,2008,풍림산업(주),001310,2007/12,54015.2,921629.0,886139.0,27036.0
5783,2008,한국콜마홀딩스(주),024720,2007/03,51794.425675,52849.0,60575.0,6596.0
5785,2008,퍼스텍(주),010820,2007/12,50891.324,56661.0,45780.0,889.0
5786,2008,(주)서연,007860,2007/12,50649.371105,251565.0,348072.0,12948.0
5787,2008,(주)에스지글로벌,001380,2007/12,50482.32375,105022.0,24553.0,-19663.0
5788,2008,케이지케미칼(주),001390,2007/12,50450.5,143103.0,164560.0,-3894.0
5789,2008,참엔지니어링(주),009310,2007/12,49999.65955,178801.0,197335.0,5617.0
5790,2008,(주)허메스홀딩스,012400,2007/12,49054.31175,31693.0,33658.0,-37451.0
5791,2008,(주)오리엔트바이오,002630,2007/03,48934.66436,36208.0,28019.0,527.0
5793,2008,화천기공(주),000850,2007/12,48400.0,125352.0,81357.0,17766.0
5794,2008,(주)혜인,003010,2007/12,47852.112,72317.0,61331.0,5419.0
5795,2008,전방(주),000950,2007/12,47796.0,123537.0,134543.0,-6769.0
5796,2008,(주)노루페인트,090350,2007/12,47600.0,130632.0,155030.0,4766.0
5798,2008,(주)벽산,007210,2007/12,47443.52,122641.0,107484.0,6231.0
5800,2008,(주)동방,004140,2007/12,47245.11415,174077.0,392570.0,3679.0
5801,2008,(주)SH에너지화학,002360,2007/12,46676.1666,61529.0,56260.0,2749.0
