,시가총액,티커,year,회사명,거래소코드,회계년도,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),1주당순이익(IFRS)(원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS연결)(백만원),계속영업이익(손실)(요약)(IFRS연결)(백만원)
84,191873077000,002000,2000,한국유리공업(주),002000,1999/12,,,,,,,,,,,,,,,
85,191205960700,004800,2000,(주)효성,004800,1999/12,,,,,,,,,,,,,,,
86,186993349140,001200,2000,유진투자증권(주),001200,1999/03,,,,,,,,,,,,,,,
87,184705600000,005440,2000,(주)현대지에프홀딩스,005440,1999/12,,,,,,,,,,,,,,,
88,181439160000,001230,2000,동국홀딩스(주),001230,1999/12,,,,,,,,,,,,,,,
89,180000000000,003920,2000,남양유업(주),003920,1999/12,,,,,,,,,,,,,,,
90,176616544500,008770,2000,(주)호텔신라,008770,1999/12,,,,,,,,,,,,,,,
91,171900000000,009410,2000,(주)태영건설,009410,1999/12,,,,,,,,,,,,,,,
92,168588000000,005270,2000,(주)대구은행,005270,1999/12,,,,,,,,,,,,,,,
93,168172331850,004150,2000,한솔홀딩스(주),004150,1999/12,,,,,,,,,,,,,,,
94,165000000000,005680,2000,삼영전자공업(주),005680,1999/12,,,,,,,,,,,,,,,
95,163275125000,025560,2000,미래산업(주),025560,1999/12,,,,,,,,,,,,,,,
96,157064700000,004990,2000,롯데지주(주),004990,1999/12,,,,,,,,,,,,,,,
97,154205090400,014900,2000,(주)삼보컴퓨터,014900,1999/12,,,,,,,,,,,,,,,
98,149569088000,005250,2000,(주)녹십자홀딩스,005250,1999/12,,,,,,,,,,,,,,,
99,148627814400,014820,2000,동원시스템즈(주),014820,1999/12,,,,,,,,,,,,,,,
100,142567743000,005280,2000,(주)부산은행,005280,1999/12,,,,,,,,,,,,,,,
101,141000000000,006840,2000,에이케이홀딩스(주),006840,1999/12,,,,,,,,,,,,,,,
102,131294083750,025860,2000,남해화학(주),025860,1999/12,,,,,,,,,,,,,,,
103,122067000000,033240,2000,자화전자(주),033240,1999/12,,,,,,,,,,,,,,,
104,121168518400,004130,2000,대덕GDS(주),004130,1999/12,,,,,,,,,,,,,,,
105,116365477580,003410,2000,쌍용씨앤이(주),003410,1999/12,,,,,,,,,,,,,,,
106,114565000000,025540,2000,한국단자공업(주),025540,1999/12,,,,,,,,,,,,,,,
107,111200000000,001440,2000,대한전선(주),001440,1999/12,,,,,,,,,,,,,,,
108,110095000000,026870,2000,코원에너지서비스(주),026870,1999/12,,,,,,,,,,,,,,,
109,108790000000,015350,2000,(주)부산도시가스,015350,1999/12,,,,,,,,,,,,,,,
110,107941725500,001720,2000,신영증권(주),001720,1999/03,,,,,,,,,,,,,,,
111,107400000000,023590,2000,(주)다우기술,023590,1999/12,,,,,,,,,,,,,,,
112,105015750000,000640,2000,동아쏘시오홀딩스(주),000640,1999/12,,,,,,,,,,,,,,,
113,105000000000,017390,2000,서울도시가스(주),017390,1999/12,,,,,,,,,,,,,,,
114,104652000000,016800,2000,(주)퍼시스,016800,1999/12,,,,,,,,,,,,,,,
115,104500000000,003640,2000,유니온스틸(주),003640,1999/12,,,,,,,,,,,,,,,
116,104125694500,008270,2000,산은캐피탈(주),008270,1999/03,,,,,,,,,,,,,,,
117,103635000000,002240,2000,고려제강(주),002240,1999/12,,,,,,,,,,,,,,,
118,103000000000,025850,2000,한화화인케미칼(주),025850,1999/12,,,,,,,,,,,,,,,
119,102080000000,005500,2000,삼진제약(주),005500,1999/12,,,,,,,,,,,,,,,
120,101978467500,003000,2000,부광약품(주),003000,1999/03,,,,,,,,,,,,,,,
121,101312200000,000670,2000,(주)영풍,000670,1999/12,,,,,,,,,,,,,,,
122,99352865400,019490,2000,(주)하이트론씨스템즈,019490,1999/12,,,,,,,,,,,,,,,
123,92262230960,025930,2000,(주)팬택,025930,1999/12,,,,,,,,,,,,,,,
124,92000000000,028050,2000,삼성엔지니어링(주),028050,1999/12,,,,,,,,,,,,,,,
125,91919575800,006200,2000,(주)한국전자홀딩스,006200,1999/03,,,,,,,,,,,,,,,
126,91192420800,003300,2000,한일홀딩스(주),003300,1999/12,,,,,,,,,,,,,,,
127,90908349440,006120,2000,에스케이디스커버리(주),006120,1999/12,,,,,,,,,,,,,,,
128,90780371560,001680,2000,대상(주),001680,1999/12,,,,,,,,,,,,,,,
129,90325136000,005620,2000,(주)대성합동지주,005620,1999/12,,,,,,,,,,,,,,,
130,90213968000,001800,2000,(주)오리온홀딩스,001800,1999/12,,,,,,,,,,,,,,,
131,89491954650,000070,2000,(주)삼양홀딩스,000070,1999/06,,,,,,,,,,,,,,,
132,88745602950,003470,2000,유안타증권(주),003470,1999/03,,,,,,,,,,,,,,,
133,88351000000,006380,2000,(주)카프로,006380,1999/12,,,,,,,,,,,,,,,
134,88332810500,003090,2000,(주)대웅,003090,1999/03,,,,,,,,,,,,,,,
135,86400000000,003200,2000,일신방직(주),003200,1999/12,,,,,,,,,,,,,,,
136,86028476880,002950,2000,두산건설(주),002950,1999/12,,,,,,,,,,,,,,,
137,85111948800,008730,2000,율촌화학(주),008730,1999/12,,,,,,,,,,,,,,,
138,84688000000,011790,2000,에스케이씨(주),011790,1999/12,,,,,,,,,,,,,,,
139,84572289000,008600,2000,(주)윌비스,008600,1999/12,,,,,,,,,,,,,,,
140,84129483750,018670,2000,에스케이가스(주),018670,1999/12,,,,,,,,,,,,,,,
141,83729562920,002740,2000,동양화학공업(주),002740,1999/12,,,,,,,,,,,,,,,
142,83529173700,024900,2000,덕양산업(주),024900,1999/12,,,,,,,,,,,,,,,
143,83077788710,017300,2000,(주)에이치비이에너지,017300,1999/12,,,,,,,,,,,,,,,
144,82026393600,002320,2000,(주)한진,002320,1999/12,,,,,,,,,,,,,,,
145,81600000000,002550,2000,(주)KB손해보험,002550,1999/03,,,,,,,,,,,,,,,
146,81306915500,000280,2000,동아건설산업(주),000280,1999/12,,,,,,,,,,,,,,,
147,81180000000,006650,2000,대한유화(주),006650,1999/12,,,,,,,,,,,,,,,
148,79640813200,001370,2000,FnC코오롱(주),001370,1999/12,,,,,,,,,,,,,,,
149,79120000000,025000,2000,케이피엑스케미칼(주),025000,1999/12,,,,,,,,,,,,,,,
150,77373056740,008560,2000,메리츠증권(주),008560,1999/03,,,,,,,,,,,,,,,
151,76800000000,004690,2000,(주)삼천리,004690,1999/12,,,,,,,,,,,,,,,
152,75756000000,005830,2000,DB손해보험(주),005830,1999/03,,,,,,,,,,,,,,,
153,75558958560,009270,2000,(주)신원,009270,1999/12,,,,,,,,,,,,,,,
154,75056595960,011760,2000,현대코퍼레이션(주),011760,1999/12,,,,,,,,,,,,,,,
155,74185270000,012600,2000,(주)청호ICT,012600,1999/12,,,,,,,,,,,,,,,
156,74145607200,010060,2000,오씨아이홀딩스(주),010060,1999/12,,,,,,,,,,,,,,,
157,72973218420,003320,2000,신한증권(주),003320,1999/03,,,,,,,,,,,,,,,
158,72854000000,010620,2000,(주)현대미포조선,010620,1999/12,,,,,,,,,,,,,,,
159,69503315000,000990,2000,(주)DB하이텍,000990,1999/12,,,,,,,,,,,,,,,
160,69457212440,003530,2000,한화투자증권(주),003530,1999/03,,,,,,,,,,,,,,,
161,69059035400,002990,2000,금호건설(주),002990,1999/12,,,,,,,,,,,,,,,
162,68367431260,018360,2000,(주)메디슨,018360,1999/12,,,,,,,,,,,,,,,
163,67914000000,017940,2000,(주)이원,017940,1999/12,,,,,,,,,,,,,,,
164,67560646650,001280,2000,우리증권(주),001280,1999/03,,,,,,,,,,,,,,,
165,67208400000,035000,2000,(주)에이치에스애드,035000,1999/12,,,,,,,,,,,,,,,
166,66361122720,003690,2000,코리안리재보험(주),003690,1999/03,,,,,,,,,,,,,,,
167,65659960800,007690,2000,국도화학(주),007690,1999/12,,,,,,,,,,,,,,,
168,65204680060,009180,2000,한솔로지스틱스(주),009180,1999/12,,,,,,,,,,,,,,,
169,65038011375,009970,2000,(주)영원무역홀딩스,009970,1999/12,,,,,,,,,,,,,,,
170,64197982075,013090,2000,(주)이트로닉스,013090,1999/12,,,,,,,,,,,,,,,
171,64197215500,003940,2000,(주)삼양제넥스,003940,1999/06,,,,,,,,,,,,,,,
172,61920000000,000120,2000,씨제이대한통운(주),000120,1999/12,,,,,,,,,,,,,,,
173,61686283500,003580,2000,에이치엘비글로벌(주),003580,1999/12,,,,,,,,,,,,,,,
174,61632975780,002020,2000,(주)코오롱,002020,1999/12,,,,,,,,,,,,,,,
175,61128831260,010510,2000,(주)일진,010510,1999/12,,,,,,,,,,,,,,,
176,60993450000,011230,2000,삼화전자공업(주),011230,1999/12,,,,,,,,,,,,,,,
177,60856684600,003330,2000,하나증권(주),003330,1999/03,,,,,,,,,,,,,,,
178,60759204850,007630,2000,(주)폴루스바이오팜,007630,1999/12,,,,,,,,,,,,,,,
179,60280145100,005950,2000,(주)이수화학,005950,1999/12,,,,,,,,,,,,,,,
180,59880000000,001940,2000,KISCO홀딩스(주),001940,1999/12,,,,,,,,,,,,,,,
181,59080000000,035150,2000,(주)백산,035150,1999/12,,,,,,,,,,,,,,,
182,58380000000,017960,2000,(주)한국카본,017960,1999/12,,,,,,,,,,,,,,,
183,58001996800,008980,2000,동양현대종합금융(주),008980,1999/03,,,,,,,,,,,,,,,
184,57523451050,017900,2000,광전자(주),017900,1999/12,,,,,,,,,,,,,,,
185,57027612900,009760,2000,한국컴퓨터지주(주),009760,1999/12,,,,,,,,,,,,,,,
186,56953000000,001130,2000,대한제분(주),001130,1999/06,,,,,,,,,,,,,,,
187,55565379750,005960,2000,동부건설(주),005960,1999/12,,,,,,,,,,,,,,,
188,55307949480,009890,2000,맥슨텔레콤(주),009890,1999/12,,,,,,,,,,,,,,,
