,rtn_portfolio,year,event,rtn_kospi
2019-12-17,-0.004169415594291023,2019,before,1.2697475053323304
2019-12-18,0.005006266175891738,2019,before,-0.041896902264471
2019-12-19,-0.001667778192869629,2019,before,0.0820157475129645
2019-12-20,0.00026533058380174803,2019,before,0.3469002824240119
2019-12-23,0.004908485891158489,2019,santa,-0.0213217939415311
2019-12-24,0.012807516013299042,2019,santa,-0.6184971277573004
2019-12-26,0.004417397382183021,2019,santa,0.3584276937647734
2019-12-27,0.011054602046517828,2019,santa,0.2857247270019902
2019-12-30,-0.0031016246052101015,2019,santa,-0.2967067193416772
2020-01-02,0.0011646463206926405,2019,santa,-1.0238116186621626
2020-01-03,-6.438864999207082e-05,2019,santa,0.0593075074055926
2020-12-14,-0.0012850225792921928,2020,before,-0.2837522384213309
2020-12-15,-0.005967523924985602,2020,before,-0.1947680438636467
2020-12-16,0.006891547357312215,2020,before,0.5430158781466687
2020-12-17,0.0019672483476852565,2020,before,-0.049069641015631
2020-12-18,0.0007600699762345888,2020,before,0.0631670911440007
2020-12-21,0.01715859562728983,2020,before,0.2333892771273271
2020-12-22,-0.025044609085843984,2020,before,-1.6184108212118908
2020-12-23,-0.006522850291128905,2020,santa,0.9562252118909154
2020-12-24,0.00872754335178931,2020,santa,1.704460359637272
2020-12-28,0.006350293035877841,2020,santa,0.0619906289513361
2020-12-29,0.014061394214388989,2020,santa,0.42405154508518
2020-12-30,0.005258692111281718,2020,santa,1.877673213501585
2021-01-04,-0.0007613636994531121,2020,santa,2.470183478248833
2021-01-05,0.0004571926851794385,2020,santa,1.566340673209421
2021-12-15,-0.0010146195180340517,2021,before,0.0481916173222796
2021-12-16,0.0005880232185913974,2021,before,0.5693475974313689
2021-12-17,0.0019069608520351391,2021,before,0.3765311015566874
2021-12-20,-0.014017553170754987,2021,before,-1.8136142339762464
2021-12-21,0.0023612500476012047,2021,before,0.4060084136643604
2021-12-22,-0.000319733852744425,2021,before,0.3176422112992405
2021-12-23,0.006093565327300248,2021,before,0.4587044140299312
2021-12-24,0.005890955876055306,2021,santa,0.4756238017592729
2021-12-27,0.004744005645012972,2021,santa,-0.4275579218363856
2021-12-28,0.005156669098187561,2021,santa,0.6897681675400946
2021-12-29,0.015705366268802565,2021,santa,-0.8923115798418313
2021-12-30,-0.00305105764848291,2021,santa,-0.5225065568202791
2022-01-04,0.002300436361290124,2021,santa,0.3892360845209497
2022-01-05,-0.0005755116984536282,2021,santa,-1.179899226775849
2022-12-14,0.008454716619996487,2022,before,1.1317694638970588
2022-12-15,0.0007468968876877874,2022,before,-1.5954998143951182
2022-12-16,-0.006656998223313212,2022,before,-0.0402356312728557
2022-12-19,-0.005580171539238947,2022,before,-0.3326284349829067
2022-12-20,-0.011954308740967255,2022,before,-0.802658117379984
2022-12-21,0.002411687014709347,2022,before,-0.1860072180468797
2022-12-22,0.013368515054930225,2022,before,1.1928134944633184
2022-12-23,-0.004002607692672203,2022,santa,-1.8262609386392012
2022-12-26,0.0019886349358909186,2022,santa,0.1491103501006785
2022-12-27,0.006324254438317828,2022,santa,0.6754079257149215
2022-12-28,0.01543235564220149,2022,santa,-2.243669040684837
2022-12-29,-0.012714728811646276,2022,santa,-1.9316384823744424
2023-01-02,-0.020928719081933278,2022,santa,-0.4797880941375898
2023-01-03,-0.009421010967681977,2022,santa,-0.3140623039235901
2023-12-12,-0.010144276454925993,2023,before,0.392415801621726
2023-12-13,-0.004186109638971123,2023,before,-0.9707095193917548
2023-12-14,0.012684011849911943,2023,before,1.3351079279824818
2023-12-15,-0.007821846988039154,2023,before,0.7617435666441796
2023-12-18,-0.012462086436861758,2023,before,0.1287291404413304
2023-12-19,0.002179390392673198,2023,before,0.0658369110713819
2023-12-20,0.009061734125912184,2023,before,1.7811605431193644
2023-12-21,-0.009840077112140397,2023,santa,-0.546227633789631
2023-12-22,0.0062726674783896725,2023,santa,-0.0196156091796906
2023-12-26,-0.0005140985705318638,2023,santa,0.118486873042567
2023-12-27,-0.013306414752319615,2023,santa,0.4191944079145138
2023-12-28,0.006982223080886466,2023,santa,1.5986236578104052
2024-01-02,-0.003788308641700308,2023,santa,0.5472126908107056
2024-01-03,-0.00015269676713601998,2023,santa,-2.340990506003271
