,year,회사명,거래소코드,회계년도,PER(최고),PER(최저),1주당순이익(원)
4753,2007,한국가스공사(주),036460,2006/12,,,
4754,2007,(주)두산,000150,2006/12,,,
4755,2007,한국투자금융지주(주),071050,2006/03,,,
4756,2007,(주)아모레퍼시픽,090430,2006/12,,,
4757,2007,현대증권(주),003450,2006/03,,,
4758,2007,DB손해보험(주),005830,2006/03,,,
4759,2007,(주)포스코인터내셔널,047050,2006/12,,,
4760,2007,삼성엔지니어링(주),028050,2006/12,,,
4761,2007,삼성전기(주),009150,2006/12,,,
4762,2007,STX조선해양(주),067250,2006/12,,,
4763,2007,기아(주),000270,2006/12,,,
4764,2007,엔에이치투자증권(주),005940,2006/03,,,
4765,2007,롯데케미칼(주),011170,2006/12,,,
4766,2007,한화에어로스페이스(주),012450,2006/12,,,
4767,2007,(주)유수홀딩스,000700,2006/12,,,
4768,2007,(주)엘지생활건강,051900,2006/12,,,
4769,2007,삼성SDI(주),006400,2006/12,,,
4770,2007,하이트진로홀딩스(주),000140,2006/12,,,
4771,2007,동국홀딩스(주),001230,2006/12,,,
4772,2007,(주)엘에스,006260,2006/12,,,
4773,2007,(주)STX,011810,2006/12,,,
4774,2007,한국앤컴퍼니(주),000240,2006/12,,,
4775,2007,(주)현대백화점,069960,2006/12,,,
4776,2007,제일모직(주),001300,2006/12,,,
4777,2007,고려아연(주),010130,2006/12,,,
4778,2007,대한전선(주),001440,2006/12,,,
4779,2007,롯데지주(주),004990,2006/12,,,
4780,2007,현대글로비스(주),086280,2006/12,,,
4781,2007,(주)부산은행,005280,2006/12,,,
4782,2007,금호건설(주),002990,2006/12,,,
4783,2007,현대해상화재보험(주),001450,2006/03,,,
4784,2007,코웨이(주),021240,2006/12,,,
4785,2007,(주)에스원,012750,2006/12,,,
4786,2007,유안타증권(주),003470,2006/03,,,
4787,2007,(주)대구은행,005270,2006/12,,,
4788,2007,(주)효성,004800,2006/12,,,
4789,2007,대한해운(주),005880,2006/12,,,
4790,2007,(주)유한양행,000100,2006/12,,,
4791,2007,STX엔진(주),077970,2006/12,,,
4792,2007,한화솔루션(주),009830,2006/12,,,
4793,2007,(주)에스비에스,034120,2006/12,,,
4794,2007,(주)LG데이콤,015940,2006/12,,,
4795,2007,LS일렉트릭(주),010120,2006/12,,,
4796,2007,씨제이대한통운(주),000120,2006/12,,,
4797,2007,씨제이(주),001040,2006/12,,,
4798,2007,메리츠화재해상보험(주),000060,2006/03,,,
4799,2007,에스케이디스커버리(주),006120,2006/12,,,
4800,2007,금호석유화학(주),011780,2006/12,,,
4801,2007,대신증권(주),003540,2006/03,,,
4802,2007,(주)오리온홀딩스,001800,2006/12,,,
4803,2007,(주)현대오토넷,042100,2006/12,,,
4804,2007,코리안리재보험(주),003690,2006/03,,,
4805,2007,(주)KB손해보험,002550,2006/03,,,
4806,2007,태광산업(주),003240,2006/12,,,
4807,2007,한미사이언스(주),008930,2006/12,,,
4808,2007,두산건설(주),011160,2006/12,,,
4809,2007,롯데칠성음료(주),005300,2006/12,,,
4810,2007,(주)제일기획,030000,2006/12,,,
4811,2007,에스케이증권(주),001510,2006/03,,,
4812,2007,(주)아모레퍼시픽그룹,002790,2006/12,,,
4813,2007,(주)한진중공업홀딩스,003480,2006/12,,,
4814,2007,유진투자증권(주),001200,2006/03,,,
4815,2007,쌍용씨앤이(주),003410,2006/12,,,
4816,2007,(주)농심,004370,2006/12,,,
4817,2007,대우자동차판매(주),004550,2006/12,,,
4818,2007,롯데정밀화학(주),004000,2006/12,,,
4819,2007,(주)엘지생명과학,068870,2006/12,,,
4820,2007,부광약품(주),003000,2006/03,,,
4821,2007,(주)웅진,016880,2006/12,,,
