,year,회사명,거래소코드,회계년도,시가총액(백만원),PER(최고),PER(최저),PBR(최고),PBR(최저),PCR(최고),PCR(최저),PSR(최고),PSR(최저)
5513,2008,(주)대웅제약,069620,2007/03,526900.1661,12.95,5.88,3.14,1.43,12.83,5.83,1.57,0.71
5514,2008,(주)호텔신라,008770,2007/12,504338.35485,86.18,30.75,3.08,1.1,51.68,18.44,2.98,1.06
5515,2008,쌍용씨앤이(주),003410,2007/12,498731.71248,335.75,203.26,1.38,0.84,43.12,26.1,1.46,0.89
5516,2008,(주)오뚜기,007310,2007/12,495360.0,13.17,6.38,1.93,0.93,10.1,4.89,0.57,0.28
5517,2008,한일홀딩스(주),003300,2007/12,494218.0015,16.5,9.0,0.96,0.52,56.42,30.75,1.72,0.94
5518,2008,(주)이원,017940,2007/12,479514.0,17.77,4.36,2.3,0.56,0.0,0.0,0.44,0.11
5519,2008,부광약품(주),003000,2007/03,477348.22125,27.78,16.34,4.8,2.82,23.34,13.73,3.95,2.32
5520,2008,금호석유화학(주),011780,2007/12,465267.3801,19.02,5.32,3.11,0.87,15.11,4.23,1.2,0.34
5521,2008,티케이지휴켐스(주),069260,2007/12,465206.8642,21.27,6.05,3.29,0.93,15.66,4.45,1.99,0.57
5522,2008,현대엘리베이터(주),017800,2007/12,463613.345,8.09,2.92,2.23,0.81,1261.5,455.62,2.15,0.78
5523,2008,STX엔진(주),077970,2007/12,457395.48635,34.13,7.17,9.74,2.05,12.95,2.72,2.18,0.46
5524,2008,LG이노텍(주),011070,2007/12,450780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5525,2008,한솔홀딩스(주),004150,2007/12,449332.041,0.0,0.0,1.78,0.96,11.03,5.92,0.84,0.45
5527,2008,(주)케이피케미칼,064420,2007/12,441536.64118,33.28,11.09,1.94,0.65,73.42,24.47,0.63,0.21
5528,2008,(주)한진,002320,2007/12,434680.0128,209.2,77.43,1.64,0.61,60.55,22.41,1.06,0.39
5529,2008,(주)빙그레,005180,2007/12,429021.54555,10.73,7.65,1.78,1.27,14.2,10.12,0.84,0.6
5531,2008,두산건설(주),011160,2007/12,424087.54955,23.63,10.52,3.2,1.42,0.0,0.0,0.98,0.43
5532,2008,(주)코오롱,002020,2007/12,419399.794,96.81,23.88,1.85,0.46,9.23,2.28,0.68,0.17
5533,2008,(주)대교,019680,2007/12,415890.9935,25.0,16.23,2.09,1.36,13.32,8.65,1.42,0.92
5534,2008,(주)롯데미도파,004010,2007/12,413691.8447,8.58,4.64,2.47,1.34,22.1,11.96,4.07,2.2
5535,2008,에스케이가스(주),018670,2007/12,407704.42125,14.24,6.45,1.81,0.82,7.46,3.38,0.27,0.12
5536,2008,(주)웅진,016880,2007/12,392041.9152,310.33,119.92,1.88,0.73,213.39,82.46,6.26,2.42
5537,2008,(주)엘에스네트웍스,000680,2007/12,377638.58487,71.9,5.98,3.24,0.27,28.67,2.38,6.52,0.54
5539,2008,(주)한진중공업홀딩스,003480,2007/12,349928.2722,30.92,9.31,2.86,0.86,10.68,3.21,1.41,0.42
5540,2008,남양유업(주),003920,2007/12,338760.0,15.31,11.63,1.44,1.09,9.82,7.47,1.09,0.83
5543,2008,남광토건(주),001260,2007/12,334400.0,22.13,5.31,2.55,0.61,0.0,0.0,0.75,0.18
5544,2008,(주)대성합동지주,005620,2007/12,333587.15,44.14,12.65,3.54,1.01,5029.94,1441.68,1.66,0.47
5545,2008,고려제강(주),002240,2007/12,331000.0,19.87,7.23,1.09,0.4,38.94,14.18,1.84,0.67
5546,2008,(주)태영건설,009410,2007/12,324700.0,173.9,15.73,11.27,1.02,0.0,0.0,7.78,0.7
5547,2008,현대코퍼레이션(주),011760,2007/12,323782.129,17.84,8.82,4.95,2.45,28.39,14.03,0.47,0.23
5548,2008,(주)영원무역홀딩스,009970,2007/12,318839.6,14.06,5.34,2.18,0.83,17.83,6.78,1.3,0.5
5549,2008,금호타이어(주),073240,2007/12,314300.0,0.0,0.0,1.41,0.86,9.95,6.08,0.6,0.37
5550,2008,씨제이씨지브이(주),079160,2007/12,313351.7696,36.14,21.21,2.65,1.56,6.59,3.87,1.37,0.8
5551,2008,(주)현대지에프홀딩스,005440,2007/12,311818.705,22.1,9.91,1.38,0.62,20.11,9.02,1.58,0.71
5552,2008,(주)삼양홀딩스,000070,2007/12,309558.6411,135.5,83.14,1.11,0.68,17.48,10.72,0.74,0.45
5553,2008,서울도시가스(주),017390,2007/12,308000.0,18.81,7.74,2.43,1.0,6.53,2.68,0.62,0.25
5554,2008,(주)시알홀딩스,000480,2007/12,308000.0,29.88,10.05,1.46,0.49,63.34,21.31,1.86,0.62
5555,2008,동원산업(주),006040,2007/12,306051.2,6.19,2.64,1.75,0.75,4.65,1.98,0.66,0.28
5558,2008,SNT다이내믹스(주),003570,2007/12,282994.326,20.59,6.72,2.14,0.7,14.42,4.71,1.43,0.47
5559,2008,도레이케미칼(주),008000,2007/12,282693.68018,0.0,0.0,2.83,1.03,40.96,14.95,0.84,0.31
5560,2008,대한제강(주),084010,2007/03,279873.006,6.53,4.16,0.74,0.47,6.88,4.39,0.39,0.25
5562,2008,(주)농심홀딩스,072710,2007/12,268989.964,10.73,7.54,1.21,0.85,53.88,37.86,8.33,5.85
5563,2008,(주)녹십자홀딩스,005250,2007/12,268667.1302,37.01,22.06,2.46,1.47,10.49,6.26,10.27,6.12
5565,2008,(주)퍼시스,016800,2007/12,255000.0,11.44,7.46,1.61,1.05,7.01,4.57,1.63,1.06
5566,2008,일양약품(주),007570,2007/03,243973.6998,191.03,64.53,8.66,2.93,105.27,35.56,4.58,1.55
5568,2008,(주)세아홀딩스,058650,2007/12,232560.0,9.27,4.58,0.93,0.46,27.03,13.35,6.87,3.4
5569,2008,(주)세아제강지주,003030,2007/12,232290.0,20.4,9.47,0.88,0.41,5.62,2.61,0.33,0.15
5570,2008,코원에너지서비스(주),026870,2007/12,229890.0,14.88,7.47,1.29,0.65,6.57,3.3,0.47,0.23
5571,2008,(주)후성,093370,2007/12,226891.58778,64.61,11.35,12.91,2.27,401.12,70.44,5.73,1.01
5572,2008,(주)온미디어,045710,2007/12,223205.2011,28.74,16.94,2.61,1.54,93.82,55.31,12.45,7.34
5574,2008,세방전지(주),004490,2007/12,214200.0,7.48,4.28,0.82,0.47,0.0,0.0,0.28,0.16
5575,2008,세원이앤씨(주),091090,2007/12,211899.82905,33.84,13.31,4.89,1.92,49.02,19.27,2.42,0.95
5576,2008,(주)풀무원,017810,2007/12,209422.752,11.75,5.28,1.82,0.82,12.38,5.57,0.88,0.4
5577,2008,(주)종근당홀딩스,001630,2007/12,208147.5,23.42,12.09,2.86,1.47,24.41,12.61,1.85,0.95
5578,2008,(주)동양,001520,2007/12,206522.051675,0.0,0.0,3.52,1.48,116.05,48.71,3.07,1.29
5579,2008,진흥기업(주),002780,2007/12,206102.89672,44.21,14.66,1.67,0.56,0.0,0.0,0.48,0.16
5580,2008,(주)삼양제넥스,003940,2007/12,203042.356,23.0,14.64,1.2,0.76,22.06,14.04,1.61,1.02
5581,2008,KG스틸(주),016380,2007/12,202229.5447,26.04,7.75,0.87,0.26,0.0,0.0,0.36,0.11
5582,2008,한국유리공업(주),002000,2007/12,202097.183,0.0,0.0,0.96,0.6,20.55,13.01,1.92,1.21
5584,2008,대우자동차판매(주),004550,2007/12,199960.8,31.6,13.84,2.12,0.93,0.0,0.0,0.53,0.23
5585,2008,(주)모토닉,009680,2007/12,197010.0,13.32,5.99,1.78,0.8,11.07,4.98,1.08,0.49
5586,2008,(주)부산도시가스,015350,2007/12,195800.0,13.56,8.42,1.37,0.85,6.77,4.21,0.53,0.33
5588,2008,하이트진로홀딩스(주),000140,2007/12,193979.8888,23.51,16.03,2.48,1.69,12.8,8.72,3.34,2.28
5589,2008,(주)한섬,020000,2007/12,193345.5,13.28,8.64,1.32,0.86,18.52,12.04,1.94,1.26
5590,2008,대상(주),001680,2007/12,193151.97088,54.97,35.1,1.68,1.07,4.64,2.96,0.58,0.37
5592,2008,넥센타이어(주),002350,2007/12,192688.1278,15.61,4.43,1.98,0.56,5.76,1.63,0.99,0.28
5593,2008,(주)유니드,014830,2007/12,192284.0148,11.87,4.42,1.67,0.62,14.61,5.44,1.17,0.44
5594,2008,대한제분(주),001130,2007/12,191815.0,13.86,8.77,0.86,0.55,63.48,40.19,1.59,1.01
5595,2008,(주)다우기술,023590,2007/12,191580.45459,12.44,4.38,2.14,0.75,67.32,23.71,7.56,2.66
5596,2008,일성신약(주),003120,2007/12,191520.0,21.79,11.38,0.97,0.51,92.46,48.27,4.89,2.55
5598,2008,무림페이퍼(주),009200,2007/12,190154.5467,37.02,19.01,1.04,0.54,18.71,9.61,0.59,0.31
5599,2008,롯데관광개발(주),032350,2007/12,188500.0,227.81,42.96,11.01,2.08,116.59,21.98,17.12,3.23
5600,2008,롯데푸드(주),002270,2007/12,187627.207,18.4,8.38,1.43,0.65,0.0,0.0,1.06,0.48
5601,2008,아세아(주),002030,2007/12,186950.74905,10.22,4.43,0.68,0.3,40.47,17.55,1.58,0.69
5602,2008,한국전기초자(주),009720,2007/12,184072.95,0.0,0.0,0.77,0.34,15.53,6.74,2.48,1.08
5603,2008,한국기술산업(주),008320,2007/10,183814.1444,0.0,0.0,20.15,2.44,0.0,0.0,36.5,4.41
5604,2008,신라교역(주),004970,2007/12,178909.08,11.68,3.56,1.16,0.35,9.51,2.9,1.29,0.39
5605,2008,(주)디엔오토모티브,007340,2007/12,177952.65,10.09,4.97,0.79,0.39,13.13,6.47,0.95,0.47
5606,2008,(주)에이치에스애드,035000,2007/12,175714.93,23.82,15.37,2.59,1.67,20.79,13.41,10.78,6.96
5607,2008,세방(주),004360,2007/12,174720.0,22.74,8.68,1.47,0.56,13.67,5.22,0.95,0.36
5608,2008,율촌화학(주),008730,2007/12,174592.0,25.36,11.67,1.64,0.76,12.82,5.9,1.44,0.66
5609,2008,동화약품(주),000020,2007/03,172616.4846,23.17,10.67,1.19,0.55,8.06,3.71,1.26,0.58
5611,2008,(주)카프로,006380,2007/12,170400.0,0.0,0.0,4.94,1.16,9.97,2.35,0.59,0.14
5612,2008,삼영전자공업(주),005680,2007/12,168000.0,204.6,111.54,0.76,0.41,0.0,0.0,1.98,1.08
5613,2008,(주)대덕,008060,2007/12,166883.346,34.34,20.93,1.3,0.79,17.11,10.43,1.32,0.81
5614,2008,(주)비상교육,100220,2007/12,166447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5615,2008,대한유화(주),006650,2007/12,166050.0,12.33,4.56,1.44,0.53,12.65,4.68,0.53,0.2
5616,2008,무림피앤피(주),009580,2007/12,165899.74184,82.45,16.39,1.27,0.25,9.06,1.8,1.28,0.25
5617,2008,대한제당(주),001790,2007/12,163249.0775,21.45,8.63,1.1,0.44,0.0,0.0,0.26,0.11
5618,2008,(주)나이스홀딩스,034310,2007/12,161470.0,12.67,7.37,1.9,1.11,55.48,32.3,1.86,1.08
5619,2008,(주)광주신세계,037710,2007/12,160800.0,11.42,7.86,2.01,1.38,7.85,5.4,1.69,1.16
5620,2008,(주)경동인베스트,012320,2007/12,160617.6,12.25,4.9,1.29,0.52,6.96,2.78,0.43,0.17
5621,2008,금호전기(주),001210,2007/12,157685.9628,17.21,9.84,1.95,1.11,12.32,7.04,1.33,0.76
5622,2008,(주)한샘,009240,2007/12,157677.3176,13.78,8.45,1.61,0.99,7.03,4.31,0.52,0.32
5623,2008,(주)예스코홀딩스,015360,2007/12,156000.0,10.01,5.33,1.05,0.56,4.59,2.44,0.33,0.17
5625,2008,케이피엑스케미칼(주),025000,2007/12,154100.0,11.26,6.3,2.46,1.38,9.02,5.05,0.83,0.47
5626,2008,한국제지(주),002300,2007/12,152150.4496,0.0,0.0,0.84,0.41,76.18,36.64,0.59,0.28
5627,2008,케이피엑스홀딩스(주),092230,2007/12,151664.7914,6.48,2.76,1.07,0.46,354.64,151.11,7.27,3.1
5628,2008,일신방직(주),003200,2007/12,149760.0,30.36,17.72,0.49,0.29,9.14,5.33,0.86,0.5
5629,2008,유니온스틸(주),003640,2007/12,147744.0,325.49,161.94,0.6,0.3,0.0,0.0,0.39,0.19
